STATEFP,State,ZCTA,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr
42,PA,15747,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15748,12,18964,3445,18348,6,13710,2452,12667,6,5254,993,33172,5,15296,3445,19919,7,3668,0,11798,2,10740,2452,13419
42,PA,15750,8,13661,3117,19105,3,9798,2452,12665,5,3863,665,35441,3,11459,3117,20263,5,2202,0,13083,1,8294,2452,13144
42,PA,15752,3,10504,2682,16474,2,9046,2452,12885,1,1458,230,38741,2,9752,2682,16971,1,752,0,10024,1,8294,2452,13144
42,PA,15753,6,3747,763,31220,1,289,0,16513,5,3458,763,32449,2,3098,763,33592,4,649,0,19895,No Campuses within 45 minutes,,,
42,PA,15754,5,10956,2682,16635,2,9046,2452,12885,3,1910,230,34395,2,9752,2682,16971,3,1204,0,13910,1,8294,2452,13144
42,PA,15756,2,9046,2452,12885,2,9046,2452,12885,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,752,0,10024,1,8294,2452,13144
42,PA,15757,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15759,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15760,3,11392,3215,18705,1,8294,2452,13144,2,3098,763,33592,3,11392,3215,18705,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15761,2,9547,2491,14686,1,8294,2452,13144,1,1253,39,24890,2,9547,2491,14686,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15762,7,15568,3215,17258,3,12018,2452,12930,4,3550,763,31909,4,13838,3215,17935,3,1730,0,11839,2,10740,2452,13419
42,PA,15764,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
