State,County,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,avg_bal_rankState,med_bal_rankState,avg_inc_rankState,med_inc_rankState,avg_dti_rankState,med_dti_rankState,avg_bal_pctState,med_bal_pctState,avg_inc_pctState,med_inc_pctState,avg_dti_pctState,med_dti_pctState,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,pct_bal_grt_rankState,avg_bal_sh_obal_rankState,med_bal_sh_obal_rankState,pct_bal_grt_pctState,avg_bal_sh_obal_pctState,med_bal_sh_obal_pctState,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,avg_bal_rankState_ASIAN,med_bal_rankState_ASIAN,avg_inc_rankState_ASIAN,med_inc_rankState_ASIAN,avg_dti_rankState_ASIAN,med_dti_rankState_ASIAN,avg_bal_pctState_ASIAN,med_bal_pctState_ASIAN,avg_inc_pctState_ASIAN,med_inc_pctState_ASIAN,avg_dti_pctState_ASIAN,med_dti_pctState_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,pct_bal_grt_rankState_ASIAN,avg_bal_sh_obal_rankState_ASIAN,med_bal_sh_obal_rankState_ASIAN,pct_bal_grt_pctState_ASIAN,avg_bal_sh_obal_pctState_ASIAN,med_bal_sh_obal_pctState_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,avg_bal_rankState_BLACK,med_bal_rankState_BLACK,avg_inc_rankState_BLACK,med_inc_rankState_BLACK,avg_dti_rankState_BLACK,med_dti_rankState_BLACK,avg_bal_pctState_BLACK,med_bal_pctState_BLACK,avg_inc_pctState_BLACK,med_inc_pctState_BLACK,avg_dti_pctState_BLACK,med_dti_pctState_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,pct_bal_grt_rankState_BLACK,avg_bal_sh_obal_rankState_BLACK,med_bal_sh_obal_rankState_BLACK,pct_bal_grt_pctState_BLACK,avg_bal_sh_obal_pctState_BLACK,med_bal_sh_obal_pctState_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,avg_bal_rankState_LATINO,med_bal_rankState_LATINO,avg_inc_rankState_LATINO,med_inc_rankState_LATINO,avg_dti_rankState_LATINO,med_dti_rankState_LATINO,avg_bal_pctState_LATINO,med_bal_pctState_LATINO,avg_inc_pctState_LATINO,med_inc_pctState_LATINO,avg_dti_pctState_LATINO,med_dti_pctState_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,pct_bal_grt_rankState_LATINO,avg_bal_sh_obal_rankState_LATINO,med_bal_sh_obal_rankState_LATINO,pct_bal_grt_pctState_LATINO,avg_bal_sh_obal_pctState_LATINO,med_bal_sh_obal_pctState_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,avg_bal_rankState_NATVAM,med_bal_rankState_NATVAM,avg_inc_rankState_NATVAM,med_inc_rankState_NATVAM,avg_dti_rankState_NATVAM,med_dti_rankState_NATVAM,avg_bal_pctState_NATVAM,med_bal_pctState_NATVAM,avg_inc_pctState_NATVAM,med_inc_pctState_NATVAM,avg_dti_pctState_NATVAM,med_dti_pctState_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,pct_bal_grt_rankState_NATVAM,avg_bal_sh_obal_rankState_NATVAM,med_bal_sh_obal_rankState_NATVAM,pct_bal_grt_pctState_NATVAM,avg_bal_sh_obal_pctState_NATVAM,med_bal_sh_obal_pctState_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,avg_bal_rankState_WHITE,med_bal_rankState_WHITE,avg_inc_rankState_WHITE,med_inc_rankState_WHITE,avg_dti_rankState_WHITE,med_dti_rankState_WHITE,avg_bal_pctState_WHITE,med_bal_pctState_WHITE,avg_inc_pctState_WHITE,med_inc_pctState_WHITE,avg_dti_pctState_WHITE,med_dti_pctState_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE,pct_bal_grt_rankState_WHITE,avg_bal_sh_obal_rankState_WHITE,med_bal_sh_obal_rankState_WHITE,pct_bal_grt_pctState_WHITE,avg_bal_sh_obal_pctState_WHITE,med_bal_sh_obal_pctState_WHITE
AL,01015,29050.2661038961,17575.335,26339.6301608142,27173.4450867052,1.20902674780795,0.822740832524533,"$29,050","$17,575","$26,340","$27,173",1022,957,1820,1627,485,249,62nd,65th,33rd,40th,82nd,90th,21,22,19,15,16,10,60th,58th,64th,72nd,70th,82nd,0.745571658615137,1.10621302931596,1.0829,74.58%,110.66%,108.24%,256,284,261,91st,90th,90th,16,16,13,70th,70th,76th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32565.9673913044,19645.1,20218.587490694,21571,1.62891272523505,1.04278889537661,"$32,566","$19,645","$20,219","$21,571",158,176,367,293,91,87,71st,68th,34th,47th,83rd,84th,9,16,10,7,12,10,68th,40th,64th,76th,56th,64th,0.786885245901639,1.17260901639344,1.1205,78.65%,117.26%,112.09%,179,83,60,69th,85th,89th,17,9,7,44th,72nd,79th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28433.0055725191,17263.96,27414.3170418277,28596,1.13530630902304,0.689015901066005,"$28,433","$17,264","$27,414","$28,596",1071,1017,1666,1478,487,428,58th,60th,34th,42nd,80th,83rd,19,18,18,16,12,9,59th,61st,61st,65th,75th,81st,0.735470941883768,1.08974898373984,1.0783,73.59%,109.01%,107.80%,216,302,241,92nd,88th,91st,11,13,10,79th,75th,81st
AL,01017,23124.935,13660.26,25073.2023289882,24229.7028434367,0.939331934257748,0.48125801171233,"$23,125","$13,660","$25,073","$24,230",1838,1784,2026,2113,1319,1766,32nd,34th,25th,22nd,51st,35th,32,36,27,26,34,42,39th,31st,49th,50th,35th,19th,0.720238095238095,1.10721904761905,1.08205,72.05%,110.77%,108.24%,340,275,270,88th,90th,90th,19,14,14,64th,74th,74th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19685.4541666667,22212.01,23041.4595180986,24229.7028434367,0.880817045969695,0.92492261798099,"$19,685","$22,212","$23,041","$24,230",468,108,218,187,471,135,16th,80th,60th,66th,15th,75th,22,8,4,3,23,15,16th,72nd,88th,92nd,12th,44th,0.631578947368421,1.02803421052632,1.054,63.14%,102.85%,105.38%,496,506,451,15th,13th,22nd,28,27,23,6th,10th,24th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24271.4286111111,10973.48,25750.4499326181,24839.5,0.958836897020432,0.442229746525276,"$24,271","$10,973","$25,750","$24,840",1627,2166,1940,2060,1059,1828,36th,15th,23rd,19th,58th,28th,23,37,24,27,25,37,50th,18th,47th,40th,45th,18th,0.746153846153846,1.13036538461538,1.08445,74.58%,113.08%,108.46%,193,135,206,92nd,95th,92nd,10,6,7,81st,89th,87th
AL,01019,24150.255,18800.29,24642.8862872964,24412,0.969141706022717,0.76838480382417,"$24,150","$18,800","$24,643","$24,412",1724,717,2086,2087,1194,338,37th,73rd,23rd,23rd,56th,87th,29,19,28,24,30,13,45th,64th,47th,54th,43rd,76th,0.602941176470588,1.01550147058824,1.00585,60.28%,101.53%,100.54%,1108,1435,1997,61st,49th,30th,36,39,46,31st,25th,11th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24150.255,18800.29,24642.8862872964,24412,0.969141706022717,0.76838480382417,"$24,150","$18,800","$24,643","$24,412",1645,733,2113,2114,1012,254,35th,71st,17th,17th,60th,90th,25,15,31,31,23,7,45th,68th,31st,31st,50th,86th,0.602941176470588,1.01550147058824,1.00585,60.28%,101.53%,100.54%,918,1255,1800,66th,53rd,33rd,28,35,41,43rd,29th,16th
AL,01021,21272.1751162791,9811.09,25745.1335098622,24241.0161925861,0.845062394817394,0.386699900807423,"$21,272","$9,811","$25,745","$24,241",2076,2426,1910,2110,1734,2344,24th,11th,30th,22nd,36th,14th,39,48,23,25,40,48,25th,7th,56th,52nd,23rd,7th,0.627272727272727,1.07578899082569,1.0495,62.70%,107.58%,104.94%,885,538,816,69th,81st,71st,33,25,33,37th,52nd,37th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21272.1751162791,9811.09,25745.1335098622,24241.0161925861,0.845062394817394,0.386699900807423,"$21,272","$9,811","$25,745","$24,241",1967,2299,1943,2135,1514,2141,22nd,9th,23rd,16th,40th,16th,32,40,25,32,31,39,29th,11th,45th,29th,31st,13th,0.627272727272727,1.07578899082569,1.0495,62.7%,107.58%,104.94%,706,411,652,73rd,84th,75th,26,18,25,47th,64th,50th
AL,01023,34897.0842857143,12189.36,21134.2784800592,20306,1.65317365363905,0.574101449630381,"$34,897","$12,189","$21,134","$20,306",391,2089,2502,2510,147,1111,85th,23rd,8th,8th,94th,59th,9,41,42,44,7,32,84th,21st,19th,15th,88th,39th,0.951612903225806,1.22911774193548,1.156,95.15%,122.87%,115.61%,9,18,24,99th,99th,99th,2,1,2,98th,100th,98th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35071.87375,11291.54,20306,20306,1.72716801684231,0.556069142125481,"$35,072","$11,292","$20,306","$20,306",105,463,360,356,73,433,81st,16th,35th,36th,87th,22nd,7,24,9,10,9,25,76th,8th,68th,64th,68th,4th,0.939393939393939,1.31445151515152,1.1921,93.94%,131.45%,119.24%,13,5,8,97th,99th,98th,3,1,1,93rd,100th,100th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34664.0316666667,27022.52,22238.6497868047,22393.9831201381,1.55451450270136,1.18789369120806,"$34,664","$27,023","$22,239","$22,394",440,67,2377,2330,108,34,82nd,97th,6th,8th,95th,98th,4,2,40,39,3,1,93rd,97th,11th,13th,95th,100th,0.96551724137931,1.13201379310345,1.102,96.58%,113.19%,110.22%,10,128,131,99th,95th,95th,2,5,6,97th,91st,89th
AL,01025,20839.776,14211.37,21468.2539729991,21616.5,0.965326242257064,0.733089071251614,"$20,840","$14,211","$21,468","$21,616",2124,1676,2471,2418,1209,417,22nd,38th,9th,11th,55th,84th,40,33,36,40,31,17,23rd,37th,31st,23rd,41st,68th,0.8,1.17380649350649,1.0813,79.97%,117.37%,108.13%,127,61,280,95th,97th,90th,10,4,15,83rd,94th,72nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25292.66,20150.84,19165.75,19839,1.25035747265332,0.99162330421079,"$25,293","$20,151","$19,166","$19,839",336,160,430,389,244,108,39th,71st,22nd,30th,56th,80th,16,14,16,12,15,13,40th,48th,40th,56th,44th,52nd,0.75,1.04199545454545,1.05975,75.02%,104.17%,105.93%,280,486,422,52nd,16th,27th,23,26,22,24th,13th,27th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17871.1866666667,12360.33,23003.2566216651,24663.7522529931,0.775305421992892,0.580677500215879,"$17,871","$12,360","$23,003","$24,664",2284,1981,2313,2078,1822,891,10th,22nd,9th,18th,28th,65th,39,31,36,29,37,20,13th,31st,20th,36th,18th,56th,0.821428571428571,1.22653090909091,1.1062,82.17%,122.65%,110.66%,70,17,100,97th,99th,96th,4,1,4,93rd,100th,93rd
AL,01027,20308.6766666667,6858.305,25265.6666666667,22890,0.808874070822592,0.299620139799039,"$20,309","$6,858","$25,266","$22,890",2193,2664,1998,2290,1897,2619,19th,2nd,27th,16th,30th,4th,41,50,25,33,44,51,21st,3rd,52nd,37th,15th,1st,0.431818181818182,0.964722727272727,0.9213,43.23%,96.47%,92.18%,2448,2181,2712,14th,23rd,5th,49,47,49,5th,9th,5th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20308.6766666667,6858.305,25265.6666666667,22890,0.808874070822592,0.299620139799039,"$20,309","$6,858","$25,266","$22,890",2068,2489,2024,2291,1689,2427,18th,2nd,20th,10th,33rd,4th,36,43,26,36,35,44,20th,4th,43rd,20th,22nd,2nd,0.431818181818182,0.964722727272727,0.9213,43.23%,96.47%,92.18%,2280,1992,2539,15th,26th,6th,46,43,45,6th,12th,8th
AL,01029,17086.3823076923,15177.01,26015.086417061,24692,0.666981826872648,0.475127884043452,"$17,086","$15,177","$26,015","$24,692",2491,1463,1880,2038,2375,1815,8th,46th,31st,25th,13th,33rd,48,27,21,23,49,45,7th,49th,60th,56th,5th,13th,0.365853658536585,0.8591775,0.97915,36.63%,85.91%,97.90%,2641,2712,2572,7th,5th,10th,50,50,48,3rd,3rd,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17086.3823076923,15177.01,26015.086417061,24692,0.666981826872648,0.475127884043452,"$17,086","$15,177","$26,015","$24,692",2329,1452,1917,2074,2181,1607,8th,43rd,24th,18th,14th,37th,42,24,22,28,41,33,6th,47th,52nd,38th,9th,27th,0.365853658536585,0.8591775,0.97915,36.63%,85.91%,97.9%,2477,2543,2402,8th,5th,11th,47,46,44,4th,6th,10th
AL,01031,29608.1730769231,20684.28,30543.066636614,31607,0.99834487001454,0.606121201539297,"$29,608","$20,684","$30,543","$31,607",941,419,1050,866,1091,899,65th,84th,61st,68th,60th,67th,20,13,6,6,28,29,62nd,76th,90th,90th,47th,45th,0.584615384615385,1.00547786561265,1.0297,58.41%,100.54%,102.96%,1268,1592,1262,55th,44th,55th,37,41,38,29th,21st,27th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22588.046,14184.63,18740,18740,1.2053386339381,0.756917289220918,"$22,588","$14,185","$18,740","$18,740",408,383,451,439,286,247,26th,31st,19th,21st,48th,55th,18,22,18,18,17,22,32nd,16th,32nd,32nd,36th,16th,0.65,1.179735,1.0499,65.01%,117.92%,104.94%,469,71,464,19th,88th,20th,26,8,25,13th,75th,17th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30193.1836666667,20823.25,31526.6555229985,32380,0.981095389687576,0.60604178945687,"$30,193","$20,823","$31,527","$32,380",861,430,948,827,974,741,66th,83rd,62nd,67th,61st,70th,16,9,6,5,22,18,65th,81st,88th,90th,52nd,61st,0.572727272727273,0.972753521126761,1.0267,57.31%,97.24%,102.63%,1192,1895,1143,55th,29th,57th,35,42,34,29th,14th,31st
AL,01033,30180.0398684211,13342.68,26802.5608125174,25774.0290507001,1.13991733818055,0.573930415821732,"$30,180","$13,343","$26,803","$25,774",874,1851,1722,1884,626,1113,68th,32nd,37th,31st,77th,59th,19,37,14,16,21,33,64th,29th,74th,70th,60th,37th,0.616161616161616,1.0383537414966,1.04855,61.60%,103.84%,104.83%,983,1067,844,65th,62nd,70th,34,32,34,35th,39th,35th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21895.3866666667,19785.03,19093.2187912021,19093.2187912021,1.14676246609376,1.03623334631857,"$21,895","$19,785","$19,093","$19,093",423,172,436,428,316,90,24th,69th,21st,23rd,43rd,83rd,19,15,17,17,18,11,28th,44th,36th,36th,32nd,60th,0.82051282051282,1.06698461538462,1.0436,82.06%,106.7%,104.39%,104,444,481,82nd,24th,17th,14,24,26,55th,20th,13th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30890.153,12159.27,27463.3615572016,26772.9058847502,1.13933061293085,0.51279147459885,"$30,890","$12,159","$27,463","$26,773",792,2007,1658,1751,476,1325,68th,21st,35th,31st,81st,48th,14,32,17,19,10,27,70th,29th,63rd,59th,79th,40th,0.585271317829457,1.03397490196078,1.058,58.52%,103.4%,105.82%,1080,953,502,60th,64th,81st,33,26,21,33rd,47th,58th
AL,01035,47087.74,32726.55,21440.1376788578,22010.9637520045,2.23923811257568,1.48682948955471,"$47,088","$32,727","$21,440","$22,011",48,15,2474,2380,50,15,98th,99th,9th,13th,98th,99th,1,1,38,38,2,2,100th,100th,27th,27th,98th,98th,0.785714285714286,1.18835178571429,1.0941,78.54%,118.80%,109.45%,160,44,183,94th,98th,93rd,11,3,9,80th,96th,84th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.20545,1.1073,75.02%,120.56%,110.77%,280,38,101,52nd,93rd,82nd,23,5,13,24th,86th,58th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0857625,1.07505,99.99%,108.57%,107.47%,5,336,267,99th,87th,90th,1,16,12,100th,68th,77th
AL,01037,23014.3871428571,10143.47,20968,23319,1.26470118977133,0.434987349371757,"$23,014","$10,143","$20,968","$23,319",1854,2385,2517,2233,426,2078,32nd,12th,8th,18th,84th,24th,33,46,44,28,15,47,37th,11th,15th,47th,72nd,9th,0.692307692307692,1.00788846153846,1.06285,69.19%,100.76%,106.26%,456,1559,534,84th,45th,81st,24,40,26,54th,23rd,50th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647058823529412,0.966317647058824,1.0291,64.68%,96.58%,102.96%,476,568,520,18th,2nd,11th,27,28,28,10th,6th,6th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777777777777778,1.08641111111111,1.1318,77.77%,108.68%,113.19%,135,331,51,95th,87th,98th,8,15,3,85th,70th,95th
AL,01039,21852.1082758621,13259.11,26503.8620393773,25314,0.82975089177724,0.46726494220468,"$21,852","$13,259","$26,504","$25,314",1989,1874,1777,1952,1800,1855,27th,31st,35th,28th,34th,32nd,36,38,16,19,42,46,31st,27th,70th,64th,19th,11th,0.669291338582677,1.0562296,1.052,66.88%,105.60%,105.16%,583,779,762,79th,72nd,73rd,26,26,32,50th,50th,39th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21852.1082758621,13259.11,26503.8620393773,25314,0.82975089177724,0.46726494220468,"$21,852","$13,259","$26,504","$25,314",1897,1814,1827,1992,1587,1658,25th,28th,28th,21st,37th,35th,30,29,20,24,33,34,34th,36th,56th,47th,27th,25th,0.669291338582677,1.0562296,1.052,66.88%,105.6%,105.16%,431,621,606,84th,77th,77th,20,19,23,60th,62nd,54th
AL,01041,30893.4863636364,27000.55,22935.6363636364,24844,1.32696254833081,1.12996326546563,"$30,893","$27,001","$22,936","$24,844",787,58,2326,2023,354,58,71st,97th,15th,26th,87th,97th,16,2,33,22,11,5,70th,98th,37th,58th,80th,92nd,0.28125,0.868617391304348,0.8615,28.16%,86.90%,86.13%,2749,2695,2765,3rd,5th,3rd,51,49,50,1st,5th,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30893.4863636364,27000.55,22935.6363636364,24844,1.32696254833081,1.12996326546563,"$30,893","$27,001","$22,936","$24,844",790,68,2320,2059,247,45,69th,97th,9th,19th,90th,98th,13,3,37,26,4,3,72nd,95th,18th,43rd,93rd,95th,0.28125,0.868617391304348,0.8615,28.16%,86.9%,86.13%,2582,2526,2597,4th,6th,3rd,48,45,46,2nd,8th,6th
